category,text,url,scheduled_time
イベント告知,"🗓【第46回小品盆栽銘品展】2025/9/27開催！詳細は👉",https://bonsai-catalog.vercel.app/events/shohin-bonsai-meihin-46,2025/9/23 09:00
イベント告知,"🗓【親子で楽しむ盆栽教室】2025/9/28開催！詳細は👉",https://bonsai-catalog.vercel.app/events/family-bonsai-class-september,2025/9/23 12:00
イベント告知,"🗓【笠間盆栽展】2025/10/3開催！詳細は👉",https://bonsai-catalog.vercel.app/events/ibaraki-kasama-bonsai-2025-10,2025/9/23 19:00
イベント告知,"🗓【大宮盆栽村100周年記念特別展「時をつなぐ盆栽の美」】2025/10/3開催！詳細は👉",https://bonsai-catalog.vercel.app/events/omiya-bonsai-village-100th-special-exhibition,2025/9/23 09:00
イベント告知,"🗓【第15回相模原草趣会展】2025/10/4開催！詳細は👉",https://bonsai-catalog.vercel.app/events/sagamihara-soshushu-kai-exhibition-15,2025/9/23 12:00
イベント告知,"🗓【盆栽の横浜逸品会 即売会】2025/10/4開催！詳細は👉",https://bonsai-catalog.vercel.app/events/kanagawa-yokohama-ippinkai-2025-10,2025/9/23 19:00
イベント告知,"🗓【第47回笠間支部盆栽展】2025/10/11開催！詳細は👉",https://bonsai-catalog.vercel.app/events/kasama-bonsai-exhibition-47,2025/9/23 09:00
イベント告知,"🗓【湘南はまゆう小品盆栽会】2025/10/11開催！詳細は👉",https://bonsai-catalog.vercel.app/events/kanagawa-shonan-hamayuu-2025-10,2025/9/23 12:00
イベント告知,"🗓【紅葉盆栽ワークショップ】2025/10/14開催！詳細は👉",https://bonsai-catalog.vercel.app/events/autumn-foliage-bonsai-workshop,2025/9/23 19:00
イベント告知,"🗓【近江湖鉢会 秋季展】2025/10/16開催！詳細は👉",https://bonsai-catalog.vercel.app/events/shiga-omi-kobachi-2025-10,2025/9/24 09:00
記事紹介,"📚【盆栽外交｜文化交流としての盆栽贈答マナー】国際的な文化交流における盆栽贈答の作法と外交的意義について、適切なマナーと文化的配慮を詳しく解説しま...続きは👉",https://bonsai-catalog.vercel.app/guides/bonsai-diplomacy-gift-etiquette,2025/9/24 12:00
記事紹介,"📚【世界の盆栽コンテスト｜参加方法と入賞戦略】国際的な盆栽コンテストへの参加方法から入賞のための戦略まで、世界の盆栽競技会の全てを解説します。...続きは👉",https://bonsai-catalog.vercel.app/guides/world-bonsai-contest-participation-guide,2025/9/24 19:00
記事紹介,"📚【盆栽の英語表現ガイド｜国際交流で使える専門用語】盆栽の英語表現を完全解説。国際的な盆栽コミュニティで必要な専門用語から実用的なコミュニケーションフレ...続きは👉",https://bonsai-catalog.vercel.app/guides/bonsai-english-terminology-guide,2025/9/24 09:00
記事紹介,"📚【東南アジア熱帯盆栽｜高温多湿環境での特殊管理】東南アジアの熱帯環境での盆栽管理を完全解説。高温多湿という厳しい条件下での特殊技術と熱帯在来種の魅力...続きは👉",https://bonsai-catalog.vercel.app/guides/southeast-asia-tropical-bonsai,2025/9/24 12:00
